,Restaurants,Avg_Rating,Avg_PriceRange
New Delhi,5473,3.297381422924901,1.6215969303855289
Gurgaon,1118,3.330674157303371,1.8559928443649374
Noida,1080,3.159626436781609,1.6018518518518519
Faridabad,251,3.1033112582781457,1.454183266932271
Ghaziabad,25,3.1,1.8
Bhubaneshwar,21,3.9809523809523806,1.8571428571428572
Amritsar,21,3.6857142857142855,1.8095238095238095
Ahmedabad,21,4.161904761904762,2.5714285714285716
Guwahati,21,4.190476190476191,2.5238095238095237
Lucknow,21,4.1952380952380945,2.5714285714285716
Cape Town,20,4.11,3.2
Brasï¿½_lia,20,3.6789473684210527,3.1
Rio de Janeiro,20,4.489473684210526,3.5
Sï¿½ï¿½o Paulo,20,4.152941176470588,3.6
Albany,20,3.5549999999999997,1.7
Athens,20,4.2,1.6
Augusta,20,4.13,2.15
Manchester,20,4.045,2.7
Boise,20,4.26,2.05
Cedar Rapids/Iowa City,20,4.165,2.05
Pune,20,4.220000000000001,2.95
Colombo,20,3.87,2.85
London,20,4.535,3.0
Edinburgh,20,4.09,2.9
Macon,20,4.115,2.05
Pretoria,20,4.1899999999999995,3.7
Varanasi,20,3.5100000000000002,2.45
Ankara,20,4.305,2.8
Columbus,20,4.029999999999999,2.15
Doha,20,4.0600000000000005,3.65
Dalton,20,4.11,1.4
Jaipur,20,4.13,2.85
Des Moines,20,4.235,2.15
Birmingham,20,3.8736842105263154,2.4
Dubuque,20,3.535,1.9
Ranchi,20,3.4549999999999996,2.05
Auckland,20,4.275,3.05
Surat,20,3.935,2.65
Gainesville,20,4.035,1.75
Davenport,20,4.127777777777777,2.0
Vadodara,20,4.025,2.6
Vizag,20,4.005,2.35
Patna,20,3.4549999999999996,2.45
Wellington City,20,4.25,3.25
Kanpur,20,3.815,2.7
Savannah,20,4.154999999999999,2.35
Ludhiana,20,3.9799999999999995,2.65
Rest of Hawaii,20,4.41,2.35
Kochi,20,4.08,2.05
Kolkata,20,4.255,2.85
Pocatello,20,3.668421052631579,1.8
Pensacola,20,4.2,2.35
Mumbai,20,4.085,2.75
Mangalore,20,3.745,2.5
Singapore,20,3.575,3.65
Mysore,20,3.6950000000000003,2.45
Nagpur,20,3.965,2.3
Nashik,20,3.5200000000000005,2.8
Coimbatore,20,4.135,2.4
Dehradun,20,4.05,3.05
Orlando,20,4.475,2.9
Tampa Bay,20,4.41,2.55
Dubai,20,4.37,3.05
Valdosta,20,3.715,2.25
Sioux City,20,3.7649999999999997,1.9
Waterloo,20,3.65,1.75
Chennai,20,4.3149999999999995,2.45
Bhopal,20,3.95,2.15
Goa,20,4.245,3.65
Indore,20,3.97,2.75
Sharjah,20,4.029999999999999,3.3
Bangalore,20,4.375,2.7
Agra,20,3.965,2.65
Abu Dhabi,20,4.3,3.3
Puducherry,20,3.7299999999999995,3.0
Aurangabad,20,3.375,2.2
Allahabad,20,3.3950000000000005,2.65
Hyderabad,18,4.344444444444445,2.888888888888889
Chandigarh,18,4.050000000000001,2.5
Jakarta,16,4.35625,3.0
ï¿½ï¿½stanbul,14,4.292857142857143,2.857142857142857
Sandton,11,4.3,3.8181818181818183
Johannesburg,6,4.2,4.0
Taguig City,4,4.525,3.5
Mandaluyong City,4,4.625,3.75
Pasig City,3,4.633333333333334,3.0
Pasay City,3,4.366666666666667,4.0
Makati City,2,4.65,3.0
Hepburn Springs,2,3.8,1.5
Santa Rosa,2,3.8,3.0
San Juan City,2,4.25,3.0
Tangerang,2,4.300000000000001,3.0
Bogor,2,3.85,2.5
Secunderabad,2,4.5,2.0
Inner City,2,4.9,4.0
Paynesville,1,2.6,4.0
Weirton,1,3.9,2.0
Victor Harbor,1,3.6,2.0
Vernonia,1,4.3,1.0
Trentham East,1,4.1,2.0
Tanunda,1,4.4,3.0
Princeton,1,4.0,4.0
Potrero,1,3.3,2.0
Phillip Island,1,3.7,2.0
Penola,1,3.4,2.0
Mohali,1,4.3,2.0
Macedon,1,3.5,2.0
Lorn,1,3.6,2.0
Ojo Caliente,1,3.6,3.0
Montville,1,2.4,3.0
Monroe,1,3.6,2.0
Miller,1,3.4,1.0
Middleton Beach,1,3.8,3.0
Panchkula,1,4.2,4.0
Mc Millan,1,2.4,1.0
Mayfield,1,2.9,2.0
Palm Cove,1,4.4,3.0
Lincoln,1,4.5,2.0
Winchester Bay,1,3.2,2.0
Dicky Beach,1,3.6,1.0
Yorkton,1,3.3,2.0
Consort,1,3.0,2.0
Inverloch,1,3.7,1.0
Huskisson,1,4.1,2.0
Bandung,1,4.2,3.0
Forrest,1,3.7,2.0
Flaxton,1,3.5,3.0
Fernley,1,3.7,1.0
East Ballina,1,4.1,2.0
Cochrane,1,3.1,2.0
Lakes Entrance,1,3.8,1.0
Lakeview,1,3.6,1.0
Clatskanie,1,4.3,1.0
Chatham-Kent,1,3.7,2.0
Beechworth,1,4.6,2.0
Balingup,1,3.2,2.0
Armidale,1,3.5,2.0
Tagaytay City,1,4.5,3.0
Randburg,1,4.3,3.0
Quezon City,1,4.8,3.0
Vineland Station,1,4.3,4.0
